target_id	length	eff_length	est_counts	tpm
Medtr1g112750	1221	1021.99	22	1.20471
Medtr1g037670	222	49.7513	0	0
Medtr1g103660	2055	1855.99	52.7324	1.59004
Medtr1g051285	225	51.1938	0	0
Medtr1g087710	558	358.994	46	7.17098
Medtr1g069860	285	90.8271	0	0
Medtr1g051735	282	88.3726	0	0
Medtr1g052605	435	235.994	0	0
Medtr1g102010	1887	1687.99	627.503	20.8043
Medtr1g041345	2940	2740.99	473	9.65741
Medtr1g115485	2430	2230.99	0	0
Medtr1g104700	240	59.1568	4	3.7841
Medtr1g100040	1446	1246.99	5	0.224395
Medtr1g069415	243	60.9045	0	0
Medtr1g100230	1251	1051.99	0	0
Medtr1g055440	219	48.3568	0	0
Medtr1g102640	681	481.994	0	0
Medtr1g009400	315	117.392	0	0
Medtr1g013730	1149	949.994	0	0
Medtr1g085690	702	502.994	0	0
Medtr1g011380	1212	1012.99	305	16.85
Medtr1g107085	312	114.6	256	125.015
Medtr1g115860	198	39.8441	0	0
Medtr1g037540	1206	1006.99	0	0
Medtr1g075400	273	81.2798	0	0
Medtr1g116565	1227	1027.99	672	36.5836
Medtr1g026890	1449	1249.99	976	43.6968
Medtr1g106590	1029	829.994	63	4.24789
Medtr1g026290	2952	2752.99	1261	25.6341
Medtr1g061240	1110	910.994	168	10.3205
Medtr1g047060	282	88.3726	0	0
Medtr1g075900	1875	1675.99	1618	54.0273
Medtr1g070320	207	43.2364	0	0
Medtr1g112870	1470	1270.99	4779	210.427
Medtr1g063310	309	111.833	1	0.500424
Medtr1g492610	837	637.994	1136	99.6567
Medtr1g107540	1866	1666.99	1414	47.4704
Medtr1g085680	1557	1357.99	20	0.824213
Medtr1g035580	1497	1297.99	0	0
Medtr1g093770	939	739.994	260	19.6631
Medtr1g016790	198	39.8441	10	14.0457
Medtr1g033110	183	34.9456	0	0
Medtr1g038570	1878	1678.99	325	10.8328
Medtr1g032560	519	319.994	1	0.17489
Medtr1g086350	1173	973.994	518	29.7633
Medtr1g088970	498	298.994	9	1.68457
Medtr1g021915	738	538.994	29	3.01108
Medtr1g080420	4410	4210.99	773	10.2731
Medtr1g107515	408	208.997	3	0.80332
Medtr1g024975	327	128.77	0	0
Medtr1g099350	876	676.994	0	0
Medtr1g041495	609	409.994	189	25.7984
Medtr1g026240	678	478.994	0	0
Medtr1g047000	171	31.6189	0	0
Medtr1g025500	3063	2863.99	345	6.74147
Medtr1g045900	429	229.994	569.205	138.503
Medtr1g015540	2322	2122.99	0	0
Medtr1g015900	435	235.994	1	0.237141
Medtr1g103850	2130	1930.99	66	1.9128
Medtr1g018130	861	661.994	1	0.0845383
Medtr1g031700	1500	1300.99	0	0
Medtr1g053955	6135	5935.99	526	4.95906
Medtr1g016235	255	68.4256	29	23.7185
Medtr1g089180	1395	1195.99	559	26.1571
Medtr1g008950	390	191.008	0	0
Medtr1g016230	3171	2971.99	4440	83.607
Medtr1g032610	3354	3154.99	131.048	2.32456
Medtr1g094980	1848	1648.99	734	24.9106
Medtr1g092670	240	59.1568	809	765.334
Medtr1g052875	627	427.994	0	0
Medtr1g115540	276	83.5974	0	0
Medtr1g051685	234	55.8184	0	0
Medtr1g097390	1308	1108.99	99	4.9959
Medtr1g041330	255	68.4256	0	0
Medtr1g021460	465	265.994	0	0
Medtr1g041810	768	568.994	0	0
Medtr1g091420	186	35.8555	0	0
Medtr1g057010	273	81.2798	0	0
Medtr1g104830	183	34.9456	0	0
Medtr1g041475	825	625.994	10	0.894
Medtr1g039310	3504	3304.99	0	0
Medtr1g029620	3030	2830.99	280	5.53511
Medtr1g492600	474	274.994	139.463	28.3821
Medtr1g036630	345	146.283	0	0
Medtr1g007170	918	718.994	58	4.51451
Medtr1g090650	567	367.994	12	1.82494
Medtr1g010300	6618	6418.99	676	5.89369
Medtr1g117130	441	241.994	0	0
Medtr1g115550	984	784.994	164	11.6919
Medtr1g077420	807	607.994	81	7.45579
Medtr1g034340	588	388.994	112	16.1132
Medtr1g020980	204	42.065	0	0
Medtr1g090760	1005	805.994	0	0
Medtr1g008050	4389	4189.99	4	0.0534262
Medtr1g047100	426	226.994	0	0
Medtr1g014080	1914	1714.99	2322.33	75.7825
Medtr1g080510	282	88.3726	16	10.1323
Medtr1g070035	666	466.994	27	3.23564
Medtr1g025750	255	68.4256	0	0
Medtr1g087960	456	256.994	0	0
